IPO Date,Symbol,Company Name,IPO Price,Current,Return
"Dec 30, 2019",MKD,Molecular Data Inc.,$5.38,$0.17,-96.81%
"Dec 19, 2019",MNPR,"Monopar Therapeutics, Inc.",$8.00,$2.75,-65.63%
"Dec 19, 2019",INDO,Indonesia Energy Corporation Limited,$11.00,$3.87,-64.82%
"Dec 13, 2019",CIIC,CIIG Merger,$10.00,$21.60,21.60%
"Dec 13, 2019",OCFT,OneConnect Financial Technology Co. Ltd.,$10.00,$1.71,-82.90%
"Dec 13, 2019",SPT,"Sprout Social, Inc.",$17.00,$60.96,258.59%
"Dec 13, 2019",HCCO,Healthcare Merger Corp,$10.00,$8.97,8.97%
"Dec 12, 2019",BILL,"Bill.com Holdings, Inc.",$22.00,$170.28,674.00%
"Dec 12, 2019",EH,EHang Holdings Limited,$12.50,$15.64,25.12%
"Dec 11, 2019",LIVK,LIV Capital Acquisition Corp.,$10.00,$10.30,10.30%
"Dec 11, 2019",XP,XP Inc.,$27.00,$31.59,17.00%
"Dec 5, 2019",LMPX,"LMP Automotive Holdings, Inc.",$5.00,$7.20,44.00%
"Nov 26, 2019",ALUS,Alussa Energy Acquisition Corp.,$10.00,$9.50,9.50%
"Nov 22, 2019",CHPM,CHP Merger Corp.,$10.00,$10.13,1.30%
"Nov 22, 2019",PINE,"Alpine Income Property Trust, Inc.",$19.00,$19.25,1.32%
"Nov 22, 2019",PTAC,PropTech Acquisition Corp.,$10.00,$14.81,14.81%
"Nov 21, 2019",CAN,Canaan Inc.,$9.00,$4.09,-54.56%
"Nov 21, 2019",GRNV,Greenvision Acquisition Corp.,$10.00,$8.14,8.14%
"Nov 21, 2019",SITM,SiTime Corporation,$13.00,$196.18,"1,409.08%"
"Nov 20, 2019",SAQN,Software Acquisition Group,$10.00,$10.10,10.10%
"Nov 20, 2019",AMHC,Amplitude Healthcare Acquisition Corp.,$10.00,$15.12,15.12%
"Nov 13, 2019",YAYO,"EVmo, Inc.",$4.00,$0.45,-88.75%
"Nov 11, 2019",ETNB,"89bio, Inc.",$16.00,$5.23,-67.31%
"Nov 8, 2019",TELA,"TELA Bio, Inc.",$13.00,$11.93,-8.23%
"Nov 8, 2019",KRKR,36Kr Holdings Inc.,$14.50,$0.94,-93.52%
"Nov 8, 2019",CNSP,"CNS Pharmaceuticals, Inc.",$4.00,$0.47,-88.38%
"Nov 8, 2019",MOHO,ECMOHO Limited,$10.00,$0.31,-96.92%
"Nov 8, 2019",SRAC,Stable Road Acquisition Corp.,$10.00,$10.97,10.97%
"Nov 8, 2019",JIH,"Juniper Industrial Holdings, Inc.",$10.00,$13.19,13.19%
"Nov 7, 2019",DFNS,LGL Systems Acquisition,$10.00,$13.84,13.84%
"Nov 7, 2019",SI,Silvergate Capital Corporation,$12.00,$102.06,750.50%
"Nov 7, 2019",CNTG,Centogene N.V.,$14.00,$4.70,-66.43%
"Nov 7, 2019",GRTX,"Galera Therapeutics, Inc.",$12.00,$2.30,-80.83%
"Nov 5, 2019",MCMJ,Merida Merger Corp. I,$10.00,$6.43,-35.70%
"Nov 5, 2019",QK,Q&amp;K International Group Ltd.,$17.00,$0.49,-97.12%
"Nov 1, 2019",FSRV,Finserv Acquisition Corp,$10.00,$14.52,14.52%
"Nov 1, 2019",SFTW,Osprey Technology Acquisition Corp.,$10.00,$11.41,11.41%
"Nov 1, 2019",DUO,Fangdd Network Group Ltd.,$13.00,$0.38,-97.12%
"Oct 31, 2019",OYST,"Oyster Point Pharma, Inc.",$16.00,$10.72,-33.00%
"Oct 31, 2019",RAPT,"Rapt Therapeutics, Inc.",$12.00,$19.50,62.50%
"Oct 25, 2019",PHAT,"Phathom Pharmaceuticals, Inc.",$19.00,$16.29,-14.26%
"Oct 25, 2019",TFFP,"TFF Pharmaceuticals, Inc.",$5.00,$5.28,5.60%
"Oct 25, 2019",HAPP,Happiness Biotech Group Ltd.,$5.50,$0.41,-92.54%
"Oct 25, 2019",DAO,"Youdao, Inc.",$17.00,$13.97,-17.82%
"Oct 25, 2019",PGNY,"Progyny, Inc.",$13.00,$37.12,185.54%
"Oct 25, 2019",CABA,"Cabaletta Bio, Inc.",$11.00,$2.88,-73.82%
"Oct 25, 2019",AIH,Aesthetic Medical International Holdings Group Ltd.,$12.00,$2.45,-79.58%
"Oct 24, 2019",BRP,"BRP Group, Inc.",$14.00,$28.97,106.93%
"Oct 18, 2019",GLEO,Galileo Acquisition Corp.,$10.00,$8.54,8.54%
"Oct 18, 2019",LATN,Union Acquisition Corp. II,$10.00,$9.86,9.86%
"Oct 17, 2019",IPHA,Innate Pharma S.A.,$5.50,$3.98,-27.64%
"Oct 17, 2019",BRBR,"Bellring Brands, Inc.",$14.00,$23.69,69.21%
"Oct 11, 2019",VIR,"Vir Biotechnology, Inc.",$20.00,$33.46,67.30%
"Oct 11, 2019",HBT,"HBT Financial, Inc.",$16.00,$19.31,20.69%
"Oct 10, 2019",BNTX,BioNTech SE,$15.00,$175.02,"1,066.80%"
"Oct 3, 2019",APRE,"Aprea Therapeutics, Inc.",$15.00,$2.03,-86.47%
